primary,secondary,condiment,bread,,"""The USER - PRIMARY and SECONDARY with CONDIMENT on BREAD.""",,,,,,,,,
fried oysters,alfalfa sprouts,mayonnaise,a hamburger bun,,,,,,,,,,,
sliced ham,American cheese,soy-ginger sauce,a hot dog bun,,,,,,,,,,,
deli turkey,bell pepper,Ranch dressing,a Kaiser roll,,,,,,,,,,,
deli chicken,butter lettuce,blue cheese dressing,pita bread,,,,,,,,,,,
deli roast beef,cheddar,Thousand Island dressing,ciabatta,,,,,,,,,,,
hamburger,Colby cheese,yellow mustard,focaccia,,,,,,,,,,,
a buffalo burger,corn,basalmic vinaigrette,French baguette,,,,,,,,,,,
a turkey burger,cream cheese,spicy mustard,Italian,,,,,,,,,,,
meatloaf,dill pickles,Dijon mustard,multigrain,,,,,,,,,,,
bacon,boursin cheese,ketchup,oatmeal,,,,,,,,,,,
chicken salad,kale,barbecue sauce,potato bread,,,,,,,,,,,
ham salad,gouda,chutney,pumpernickel,,,,,,,,,,,
seafood salad,habanero slaw,teriyaki sauce,rye,,,,,,,,,,,
egg salad,lettuce,pepper,sourdough,,,,,,,,,,,
fried clams,marinated tofu,salt,white,,,,,,,,,,,
a tuna patty,sauerkraut,almond butter,whole wheat,,,,,,,,,,,
tuna salad,onion rings,fresh jam,a soft white roll,,,,,,,,,,,
bologna,pepperjack cheese,fruit jelly,a sub,,,,,,,,,,,
salami,portabella mushrooms,Nutella,a toasted bagel,,,,,,,,,,,
mortadella,provolone cheese,peanut butter,an English muffin,,,,,,,,,,,
capicola,roasted eggplant,sunflower butter,a croissant,,,,,,,,,,,
pickle loaf,roasted squash,fry sauce,,,,,,,,,,,,
pepperoni,smoked gouda,cookie butter,,,,,,,,,,,,
a salmon burger,spinach,hummus,,,,,,,,,,,,
a veggie burger,sweet pickles,garlic aioli,,,,,,,,,,,,
a black bean burger,Swiss cheese,relish,,,,,,,,,,,,
a hash brown,sliced tomato,horseradish,,,,,,,,,,,,
corned beef hash,roasted red peppers,pesto,,,,,,,,,,,,
a fried egg,red onion,honey,,,,,,,,,,,,
a soft-boiled egg,granny smith apples,extra virgin olive oil,,,,,,,,,,,,
grilled chicken,goat cheese,bacon sherry vinaigrette,,,,,,,,,,,,
fried cod,avocado,grated parmesan,,,,,,,,,,,,
pork loin,kalamata olives,fig spread,,,,,,,,,,,,
